,markdown_content,preprocessed_markdown
836,"['Next, the Boost development library must be installed.']",next boost develop librari must instal
837,['The next step is to build and re-install lightGBM with GPU support.'],next step build instal lightgbm gpu support
838,"['Last, carry out some post processing tricks for OpenCL to work properly, and clean up.']",last carri post process trick opencl work properli clean
839,"['<a id=""2""></a> \n', '## 2. Loading the data']",id 2 2 load data
840,"['<a id=""3""></a>\n', '## 3. Training the model on CPU']",id 3 3 train model cpu
841,"['<a id=""4""></a>\n', '## 4. Train model on GPU']",id 4 4 train model gpu
842,"['First, check the GPU availability.']",first check gpu avail
843,"['In order to leverage the GPU, we need to set the following parameters: \n', '\n', ""        'device': 'gpu',\n"", ""        'gpu_platform_id': 0,\n"", ""        'gpu_device_id': 0\n"", '        \n', '        ']",order leverag gpu need set follow paramet devic gpu gpu platform id 0 gpu devic id 0
844,"['<a id=""5""></a>\n', '## 5. Submission']",id 5 5 submiss
845,"['I have recently checked the following tweet:\n', '\n', '<blockquote class=""twitter-tweet"" data-lang=""fr""><p lang=""en"" dir=""ltr"">stop plotting histograms.</p>&mdash; Hugo Bowne-Anderson (@hugobowne) <a href=""https://twitter.com/hugobowne/status/1111657955248783366?ref_src=twsrc%5Etfw"">29 mars 2019</a></blockquote>\n', '<script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>\n', '\n', '\n', '\n', 'Indeed, an [ECDF](https://en.wikipedia.org/wiki/Empirical_distribution_function) \n', 'is often easier to explore and think about. Here is a [**blog post**](https://ericmjl.github.io/blog/2018/7/14/ecdfs/) explaining some of the logic behind this claim.   \n', '\n', ""Let's see how it translates to this competition's dataset!""]",recent check follow tweet blockquot class twitter tweet data lang fr p lang en dir ltr stop plot histogram p mdash hugo bown anderson hugobown href http twitter com hugobown statu 1111657955248783366 ref src twsrc 5etfw 29 mar 2019 blockquot script async src http platform twitter com widget j charset utf 8 script inde ecdf http en wikipedia org wiki empir distribut function often easier explor think blog post http ericmjl github io blog 2018 7 14 ecdf explain logic behind claim let see translat competit dataset
846,"['Based on the above plots, it appears that:\n', '\n', '* it is indeed easier to see how much two distriubtions differ by inspecting\n', 'the ecdfs.  \n', '* median values (and othe statistics) are easier to observe. \n', '\n', 'Something to try: plot the ECDF for a normal distribution having the same mean\n', 'and standard deviation and compare it with the ones plotted above. \n', '\n', 'If you have more suggestions, leave them in the comments section. \n', '\n', 'Thanks. :)']",base plot appear inde easier see much two distriubt differ inspect ecdf median valu oth statist easier observ someth tri plot ecdf normal distribut mean standard deviat compar one plot suggest leav comment section thank
847,"['Thanks to this discussion for the observation: https://www.kaggle.com/c/santander-customer-transaction-prediction/discussion/84450\n', '\n', 'In this notebook, I transform this column and re-order the train dataset using this column, and see what \n', 'happens.']",thank discus observ http www kaggl com c santand custom transact predict discus 84450 notebook transform column order train dataset use column see happen
848,['#\xa0Before you read'],xa0befor read
849,"['This exploration is an attempt to discover some hidden things behind the annonymization.\n', 'Nothing is certain of course and this is so far specualative. \n', 'Use this knowledge accordingly. ']",explor attempt discov hidden thing behind annonym noth certain cours far specual use knowledg accordingli
850,['#\xa0Preliminary work'],xa0preliminari work
851,"['Two things to observe: \n', '    \n', '- data has been annonymized\n', '- it comes from a business setting\n', '\n', 'Thus, it is most likely (but not 100% sure) that some of the features\n', ""contain date-like information (and also categorical features but that's \n"", 'for another day). \n', '\n', ""How to find potential columns? Let's try to sort the columns using the number of unique \n"", ""values. What's the heurestic behind this choice? \n"", ""Well there shouldn't be a lot of dates, maybe few thousand top.""]",two thing observ data annonym come busi set thu like 100 sure featur contain date like inform also categor featur anoth day find potenti column let tri sort column use number uniqu valu heurest behind choic well lot date mayb thousand top
852,"['==> `var_68` has the least number of uniques, thus it **might** be a date-like column\n', '(it could also be a categorical column).\n', 'There is also a possibility that this small number of uniques is a coincidence due to the rounding to 4 decimal numbers (bonus question: could you compute the probability of this event?)']",var 68 least number uniqu thu might date like column could also categor column also possibl small number uniqu coincid due round 4 decim number bonu question could comput probabl event
853,"['So how to extract a date?\n', 'Well, first, get ride of the decimal values.\n', 'Then transform to a datetime object supposing that it is an ordinal datetime.\n', 'Try different offsets until you get a meaningful date range.\n', ""That's it. Let's see this in action.""]",extract date well first get ride decim valu transform datetim object suppos ordin datetim tri differ offset get meaning date rang let see action
854,['#\xa0Some plots '],xa0som plot
855,['# Date column exploration'],date column explor
856,"[""Alright, let's now explore this newly created column.""]",alright let explor newli creat column
857,['=> I will thus use the `date` column to group rows. '],thu use date column group row
858,"[""==> Uniform day of week distribution. That's a good sign!""]",uniform day week distribut good sign
859,['#\xa0What about the test?'],xa0what test
860,"[""Let's see if our observation transfers well to the test dataset.""]",let see observ transfer well test dataset
861,['# Test and train date column comparaison'],test train date column comparaison
862,['==> Most of the dates overlap. '],date overlap
863,"['Idea to try: predict the mean of the target (using the date \n', 'for grouping) for the overlapping dates. ']",idea tri predict mean target use date group overlap date
865,"['Some of the things I will try to do: \n', '- Use this transformed column for a better temporal CV. Some ideas I have tried: stratification using years, day of weeks, and so on.\n', '- Transform other columns using this new one\n', '\n', 'Stay tuned for more insights. :)']",thing tri use transform column better tempor cv idea tri stratif use year day week transform column use new one stay tune insight
866,"['A short notebook where I explore the concept of permutation importance using \n', 'the [**ELI5 library**](https://eli5.readthedocs.io/en/latest/blackbox/permutation_importance.html). \n', '\n', 'Inspired from this great tutorial: https://www.kaggle.com/dansbecker/permutation-importance. \n', '\n', 'Enjoy!']",short notebook explor concept permut import use eli5 librari http eli5 readthedoc io en latest blackbox permut import html inspir great tutori http www kaggl com dansbeck permut import enjoy
867,['# 1. Read dataset'],1 read dataset
868,['## 1.1 Target  check'],1 1 target check
869,"['- This competiiton is Imbalanced target competition.\n', '- You can check similar competitions, Porto, Homecredit competition.\n', '- Specially, Porto also gave use anonymized dataset. \n', '- https://www.kaggle.com/c/home-credit-default-risk\n', '- https://www.kaggle.com/c/porto-seguro-safe-driver-prediction']",competiiton imbalanc target competit check similar competit porto homecredit competit special porto also gave use anonym dataset http www kaggl com c home credit default risk http www kaggl com c porto seguro safe driver predict
870,['## 1.2 Null data check'],1 2 null data check
871,"['- There is no missing values.\n', ""- Because we don't know the exact meaning of variables, we need to check some values as null value.""]",miss valu know exact mean variabl need check valu null valu
872,['# 2. Exploratory Data Analysis'],2 exploratori data analysi
873,"[""- Before EDA, let's group the features into category and non-category based on the number of uniqueness.""]",eda let group featur categori non categori base number uniqu
874,"['- Oh, Most features have more than thousands of values for each variable except var_68 (435)']",oh featur thousand valu variabl except var 68 435
875,"[""- Let's see var 68""]",let see var 68
876,"['- It also has float numbers. \n', '- Uncovering these values will be intersting job!\n', '- Multiplying and dividing with some values can make the hidden categories, See Radder work(https://www.kaggle.com/raddar/target-true-meaning-revealed)']",also float number uncov valu interst job multipli divid valu make hidden categori see radder work http www kaggl com raddar target true mean reveal
877,['# 2.1 Correlation'],2 1 correl
878,"['- The largest correlation value is 0.08\n', ""- Actually, the target is binary and variables are continous, so correlation is not enough to judge. Let's see the distribution!""]",largest correl valu 0 08 actual target binari variabl contin correl enough judg let see distribut
879,['# 2.2 Distribution regarding to target'],2 2 distribut regard target
880,['# TODO'],todo
881,"['- As you know, Santander hosted other competition 6 month before.\n', '- So you can check this competition. https://www.kaggle.com/c/santander-value-prediction-challenge']",know santand host competit 6 month check competit http www kaggl com c santand valu predict challeng
882,['- I will do time series analysis for this dataset.'],time seri analysi dataset
883,['## Load Data'],load data
884,['##   Data Exploration'],data explor
885,['## Data Preprocessing'],data preprocess
886,['## Variable Engineering'],variabl engin
887,['#### PCA'],pca
888,['#### Summary Stats'],summari stat
889,['## Feature importance'],featur import
890,['### Permutation Importance'],permut import
891,[' ## Model Development'],model develop
892,['### lightgbm'],lightgbm
893,['### Neural Net'],neural net
894,['## Submission Files'],submiss file
895,"[' <a id=""55""></a> <br>\n', '## Stacking']",id 55 br stack
896,"['# References & credits\n', 'Thanks fo following kernels that help me to create this kernel.']",refer credit thank fo follow kernel help creat kernel
897,"['1. [https://www.kaggle.com/mjbahmani/santander-ml-explainability](https://www.kaggle.com/mjbahmani/santander-ml-explainability)  \n', '1. [https://www.kaggle.com/super13579/pytorch-nn-cyclelr-k-fold-0-897-lightgbm-0-899](https://www.kaggle.com/super13579/pytorch-nn-cyclelr-k-fold-0-897-lightgbm-0-899)  \n', '1. [https://www.kaggle.com/dansbecker/permutation-importance](https://www.kaggle.com/dansbecker/permutation-importance)\n', '1. [https://www.kaggle.com/dansbecker/partial-plots](https://www.kaggle.com/dansbecker/partial-plots)\n', '1. [https://www.kaggle.com/miklgr500/catboost-with-gridsearch-cv](https://www.kaggle.com/miklgr500/catboost-with-gridsearch-cv)\n', '1. [https://www.kaggle.com/dromosys/sctp-working-lgb](https://www.kaggle.com/dromosys/sctp-working-lgb)\n', '1. [https://www.kaggle.com/gpreda/santander-eda-and-prediction](https://www.kaggle.com/gpreda/santander-eda-and-prediction)\n', '1. [permutation-importance](https://www.kaggle.com/dansbecker/permutation-importance)\n', '1. [partial-plots](https://www.kaggle.com/dansbecker/partial-plots)\n', '1. [https://www.kaggle.com/dansbecker/shap-values](https://www.kaggle.com/dansbecker/shap-values)\n', '1. [algorithm-choice](https://docs.microsoft.com/en-us/azure/machine-learning/studio/algorithm-choice)']",1 http www kaggl com mjbahmani santand ml explain http www kaggl com mjbahmani santand ml explain 1 http www kaggl com super13579 pytorch nn cyclelr k fold 0 897 lightgbm 0 899 http www kaggl com super13579 pytorch nn cyclelr k fold 0 897 lightgbm 0 899 1 http www kaggl com dansbeck permut import http www kaggl com dansbeck permut import 1 http www kaggl com dansbeck partial plot http www kaggl com dansbeck partial plot 1 http www kaggl com miklgr500 catboost gridsearch cv http www kaggl com miklgr500 catboost gridsearch cv 1 http www kaggl com dromosi sctp work lgb http www kaggl com dromosi sctp work lgb 1 http www kaggl com gpreda santand eda predict http www kaggl com gpreda santand eda predict 1 permut import http www kaggl com dansbeck permut import 1 partial plot http www kaggl com dansbeck partial plot 1 http www kaggl com dansbeck shap valu http www kaggl com dansbeck shap valu 1 algorithm choic http doc microsoft com en u azur machin learn studio algorithm choic
898,['# Not Completed yet!!!'],complet yet
899,['**1) Clean test from fake data**'],1 clean test fake data
900,['**2) Create Magic features**'],2 creat magic featur
901,['3) Read data with magic features and create additional useful features var_N **mul** magic_N and var_N **div** magic_N'],3 read data magic featur creat addit use featur var n mul magic n var n div magic n
902,"['4) Create model\n', '\n', '5) Use random shuffle of columns during training']",4 creat model 5 use random shuffl column train
903,['**6) Predict on test**'],6 predict test
904,"['![](http://res.cloudinary.com/dyd911kmh/image/upload/f_auto,q_auto:best/v1513868561/output_65_0_knd6e9.png)']",http re cloudinari com dyd911kmh imag upload f auto q auto best v1513868561 output 65 0 knd6e9 png
905,"['Plots on top of plot on top of plots. It seems that most of the EDA these days is just throwing around fancy plots from fancy libraries. There is no real **insight** or **reusability** from those kinds of notebooks, just to fill in the space.\n', '\n', '\n', '# GOAL: This notebook should serve as a reusable template for **INSIGHTFUL** EDA when approaching a DS problem. \n', '\n', 'Ofcourse there is not a universal solution and it always needs to be modified but I feel like that outlining a couple of general ideas and principles will be usefull since they will repeat themselves.']",plot top plot top plot seem eda day throw around fanci plot fanci librari real insight reusabl kind notebook fill space goal notebook serv reusabl templat insight eda approach d problem ofcours univers solut alway need modifi feel like outlin coupl gener idea principl useful sinc repeat
906,['Dataset will be [Santander Customer Transaction Prediction](https://www.kaggle.com/c/santander-customer-transaction-prediction/data) where we have 200 columns of anonymised data. '],dataset santand custom transact predict http www kaggl com c santand custom transact predict data 200 column anonymis data
907,"['# What should good EDA be capable of?\n', '1. Verify expected relationships actually exist in the data, thus formulating and validating planned techniques of analysis.\n', '2. To find some unexpected structure in the data that must be taken into account, thereby suggesting some changes in the planned analysis.\n', '3. Deliver data-driven insights to business stakeholders by confirming they are asking the right questions and not biasing the investigation with their assumptions.\n', '4. Provide the context around the problem to make sure the potential value of the data scientist’s output can be maximized.']",good eda capabl 1 verifi expect relationship actual exist data thu formul valid plan techniqu analysi 2 find unexpect structur data must taken account therebi suggest chang plan analysi 3 deliv data driven insight busi stakehold confirm ask right question bias investig assumpt 4 provid context around problem make sure potenti valu data scientist output maxim
908,"['Main point is gathering and automising as much as possible. So we will plot all of the variables together (modifying the code for different problems), than ""zoom in"" in case of suspicion. Since there are a lot of indicators I only took some of them to speed up the computation. We can see distributions as well as plots in relationship with other variables.']",main point gather automis much possibl plot variabl togeth modifi code differ problem zoom case suspicion sinc lot indic took speed comput see distribut well plot relationship variabl
909,['Same for test set.'],test set
910,['We should also plot other variables in dependence to the dependent variable--**target**. Thats the first column so lets just take a couple of the first columns. (run-time!!!)'],also plot variabl depend depend variabl target that first column let take coupl first column run time
911,"['# Take-off notes from the first analysis:\n', '\n', '**Ofcourse this is individual but we can see unbalanced classes in the target variable, not much correlation (we will check it more subsequently!). Mostly normaly distribution among predictors, tough to distinguish which values are to be associated with 0 & 1 class etc...**\n', '\n', '\n', 'As already mentioned one ought to ""zoom in"" and take one special predictor and to subsequent analysis. Doing a 3-d plot with some special interest variables etc. So it really depends on the problem and the domain knowledge of the problem.']",take note first analysi ofcours individu see unbalanc class target variabl much correl check subsequ mostli normali distribut among predictor tough distinguish valu associ 0 1 class etc alreadi mention one ought zoom take one special predictor subsequ analysi 3 plot special interest variabl etc realli depend problem domain knowledg problem
912,['Let us also assume that no pre-processing will be done (often times) before EDA. We will use EDA to help us with that too.'],let u also assum pre process done often time eda use eda help u
913,"['Dealing with **missing values**:\n', '\n', 'This is a bit specific dataset with no missing values:']",deal miss valu bit specif dataset miss valu
914,"['BUT, this is a boiler plat code that can be re-used later on different projects!']",boiler plat code use later differ project
915,"['When **dealing with outliers** one should be careful and look also at the distribution of the variable at hand. For example let us say that we have a uniform distributed variable, does 2 points of std really say anything about a potential outlier? Best thing one could do is assume (or better yet test with kolmogorov smirnov test) a distribution of a variable. Than depending on the result just throw away values that are to be found far away on the distribution graph.']",deal outlier one care look also distribut variabl hand exampl let u say uniform distribut variabl 2 point std realli say anyth potenti outlier best thing one could assum better yet test kolmogorov smirnov test distribut variabl depend result throw away valu found far away distribut graph
916,"['Since distribution of independent variables is mostly normal, lets see what happens with outliers when measured with (different) points of standard deviation. (one can see it as z-score)']",sinc distribut independ variabl mostli normal let see happen outlier measur differ point standard deviat one see z score
917,"['Another way to look at the outliers but also in the same time get some more information about distribution (IQR, median, mean etc...) is with the box-plot. But we need to do it efficiently:\n']",anoth way look outlier also time get inform distribut iqr median mean etc box plot need effici
919,['**Correlation map**- after throwing the outliers and missing values away (since it is neccessary before calculating pearson correlation coefficient)'],correl map throw outlier miss valu away sinc neccessari calcul pearson correl coeffici
920,['As we noticed from the first plots (scattered ones) there is not really much correlation between the variables.'],notic first plot scatter one realli much correl variabl
921,['So what are some other insights that can be gathered using EDA about the data? One interesting thing is the distribution (density) plot of different predicators when in contrast to different classes (0 or 1).'],insight gather use eda data one interest thing distribut densiti plot differ predic contrast differ class 0 1
922,"['**Interesting observation** is its not always normal distribution, in some cases and classes we can observe almost bimodal distribution. **Implication?** Normality assumption is not met, be careful in model choices etc if we were to use these predicators.']",interest observ alway normal distribut case class observ almost bimod distribut implic normal assumpt met care model choic etc use predic
923,"['**Another** thing that should be important to us (to ensure could prediction power) is that **test and train sets are the same**, i.e. they come from the same sample and they represent the whole population. Lets plot it for first 50 variables.']",anoth thing import u ensur could predict power test train set e come sampl repres whole popul let plot first 50 variabl
924,"['**Additionally** we can speaak about skewness distriibution (here it is normal), additional exploration with some specific variables/domain specific knowledge, contrasting different scatter plots with some categorical variables (here we do not have classes other than the dependent variable), in case of text some word clouds, tf-idf distribution etc etc....\n', 'There are many options but I think these steps are essential no matter what the dataset at hand is. \n', 'Additional **(part 2) tutorial** can be made concerning purely textual data and good EDA there.']",addit speaak skew distriibut normal addit explor specif variabl domain specif knowledg contrast differ scatter plot categor variabl class depend variabl case text word cloud tf idf distribut etc etc mani option think step essenti matter dataset hand addit part 2 tutori made concern pure textual data good eda
934,"['## Assuming the start date to be 1-Dec-2017 as hypothesized in the ""TransactionDT startdate"" kernel ']",assum start date 1 dec 2017 hypothes transactiondt startdat kernel
935,['## Observed fraud rates each day'],observ fraud rate day
936,"['Fraud rates are lower in December with the lowest point around christmas day. The fraud rate from January onwards seems to hover ~4%. \n', '\n', 'The lower fraud rates in December could be due to higher number of genuine transactions in December. Lets test this by looking at the number of fraud transactions.']",fraud rate lower decemb lowest point around christma day fraud rate januari onward seem hover 4 lower fraud rate decemb could due higher number genuin transact decemb let test look number fraud transact
937,['## Number of fraud transactions each day '],number fraud transact day
938,"['Unlike the fraud rate, the rolling average seems pretty stable until May when we see a drop and possibly a shift in mean value?']",unlik fraud rate roll averag seem pretti stabl may see drop possibl shift mean valu
939,['## Checking stationarity '],check stationar
940,"[""Fraud rate doesn't pass the ADF test for stationarity as expected from looking at the graph""]",fraud rate pas adf test stationar expect look graph
941,['Number of fraudulent activities passes the ADF test for stationarity despite the drop we observed around May-2018'],number fraudul activ pas adf test stationar despit drop observ around may 2018
942,['## How do these insights help with my modeling?'],insight help model
943,"['1. If anyone is using undersampling/oversampling approaches to deal with the class imbalance. It could possibly be benefitial to consider the month/date of transactions, try balancing classes over each month rather than over the entire training set.  \n', '\n', '2. If the drop in number of fraudulent activies we observed in May-2018, does indicate a shift in mean value. Then the expected number of fraudlent activities in test set could be lower than what we observed in the train set. \n', 'A speculation but this could also possibly explain why models are getting higher LB AUC values than local CV AUC values.']",1 anyon use undersampl oversampl approach deal class imbal could possibl benefiti consid month date transact tri balanc class month rather entir train set 2 drop number fraudul activi observ may 2018 indic shift mean valu expect number fraudlent activ test set could lower observ train set specul could also possibl explain model get higher lb auc valu local cv auc valu
944,"['> # Introduction <br>\n', ""Hi everyone! In this kernel I'd like to share some ideas about NN's and loss functions. <br>\n"", 'Core points of this kernel: \n', ""* Preparing tabular data for NN's\n"", '* Handling skewed continuous features\n', '* Implementing custom loss function\n', '* Which models are good for ensembling']",introduct br hi everyon kernel like share idea nn loss function br core point kernel prepar tabular data nn handl skew continu featur implement custom loss function model good ensembl
945,"['# Data Loading and Feature Selection <br>\n', ""In this particular kernel we will use only features from transaction table, 'cause with NN after a brief investigation I didn't get any significant improvement by using all features.""]",data load featur select br particular kernel use featur transact tabl caus nn brief investig get signific improv use featur
946,"['# Data Processing\n', 'For continuous right-skewed features we wil apply log-transform, so that will make them look more like normal distributed.']",data process continu right skew featur wil appli log transform make look like normal distribut
947,"['For categorical features we will apply OneHot transformation, but only for most common values for each feature to reduce sparsity. <br>\n', 'Also there is an embedding approach for categorical features transformation. It was implemented in this kernel https://www.kaggle.com/ryches/keras-nn-starter-w-time-series-split <br>\n', ""With embedding approach I didn't get any significant improvement comparing to this.""]",categor featur appli onehot transform common valu featur reduc sparsiti br also embed approach categor featur transform implement kernel http www kaggl com rych kera nn starter w time seri split br embed approach get signific improv compar
948,"['# Validation\n', 'For validation I use time-based holdout. For these and other models it has a good correlation between val and lb.']",valid valid use time base holdout model good correl val lb
949,['# Modeling'],model
950,"[""So, we've got a pretty interesting results. The same models with almost the same validation scores give predictions with correlation ~80% by optimizing different loss functions, so that makes them good for ensembling.""]",got pretti interest result model almost valid score give predict correl 80 optim differ loss function make good ensembl
951,['# Fine-tuning and Predicting'],fine tune predict
952,"['# Final thoughts <br>\n', ""Obviously as a single model NN doesn't perform as well as Gradient Boosting and to addition NN requires more sophisticated data processing approaches. But I'm sure, that it will be good for stacking as one of the first-level models. <br>\n"", 'I also think, that using focal loss with gradient boosting can improve score.<br>\n', ""Maybe, It is a good idea to research different loss functions, 'cause the same model can give uncorrelated predicts by optimizing different loss functions.\n""]",final thought br obvious singl model nn perform well gradient boost addit nn requir sophist data process approach sure good stack one first level model br also think use focal loss gradient boost improv score br mayb good idea research differ loss function caus model give uncorrel predict optim differ loss function
953,"['**Let\'s investigate ""D"" features!**\n', '\n', 'We all know that the data provided in this competition consist of transactions. I was curious about how to correctly identify the same cardholder/card and group that transactions. Organizers revealed that ""D"" features contain information about different time deltas and ""card"" features apply to a payment card info. \n']",let investig featur know data provid competit consist transact curiou correctli identifi cardhold card group transact organ reveal featur contain inform differ time delta card featur appli payment card info
954,"[""Let's group by 'card' features and look closely on those combinations that give us around 5-10 rows.""]",let group card featur look close combin give u around 5 10 row
955,"[""Now let's look closer at these rows.""]",let look closer row
956,"['Now we can add ""DaysFromStart"" column by divining TransactionDT on 60*60*24 and then round it to get a number of days from a starting point.']",add daysfromstart column divin transactiondt 60 60 24 round get number day start point
957,"[""**Time to identify what's behind 'D' columns!**\n"", '\n', 'Create feature:\n', '    DaysFromPreviousTransaction = DaysFromStart[row_(i)] - DaysFromStart[row_(i-1)]']",time identifi behind column creat featur daysfromprevioustransact daysfromstart row daysfromstart row 1
958,"['I can be wrong but I believe these transactions belong to the same user. One can see that DaysFromPreviousTransaction is equal to D3 which drives me to think that **D3 indicates number of days from the previous transaction**.\n', '\n', 'Also D1 is cumulatively increasing and for example 481 = 449 + 32 and 510 = 481 + 29, i.e. **D1 could indicate days from the first transaction**. \n', '\n', 'D2 is almost always equal to D1 but for the first transaction when D1 is equal to 0 D2 is nan.']",wrong believ transact belong user one see daysfromprevioustransact equal d3 drive think d3 indic number day previou transact also d1 cumul increas exampl 481 449 32 510 481 29 e d1 could indic day first transact d2 almost alway equal d1 first transact d1 equal 0 d2 nan
959,"[""**If I'm not wrong this should be a useful knowledge to identify users and proceed with a meaningful FE.**\n"", '\n', '** Please share your thoughts! **']",wrong use knowledg identifi user proceed meaning fe plea share thought
960,"['# Can we find unique clients in data?\n', 'Transactions in data looks like are independent of each other. Perhaps the organizers made it for better data anonymization. But what if we find transactions belonging to the same user? May be it will help someone in this competition.\n', '\n', 'I accidentally saw some magic in the feature V307']",find uniqu client data transact data look like independ perhap organ made better data anonym find transact belong user may help someon competit accident saw magic featur v307
961,['### Functions that will help us find unique devices and unique cards. (I think it is clear for you why we use hash functions)'],function help u find uniqu devic uniqu card think clear use hash function
962,"[""# Don't see anything?""]",see anyth
963,"[""> # Coincidence? i don't think so ""]",coincid think
964,['![](https://www.meme-arsenal.com/memes/06308418f56ad0d8d674c247e5ccba49.jpg )'],http www meme arsen com meme 06308418f56ad0d8d674c247e5ccba49 jpg
965,"['### Highly likely V307 is a cumulative sum of transactions for a certain period for one unique client\n', '\n', 'This group of transactions has the same card hash and device hash, and 41 consecutively increasing numbers. Also all this transactions are fraud. \n', '\n', 'May be this knowledge will help you to significantly improve your models. \n', '\n', ""It doesn't work for all pairs of card and devices hashes, so you can improve alghoritm for searching unique clients.""]",highli like v307 cumul sum transact certain period one uniqu client group transact card hash devic hash 41 consecut increas number also transact fraud may knowledg help significantli improv model work pair card devic hash improv alghoritm search uniqu client
966,['# Bonus: You can try to decipher the values of some features'],bonu tri deciph valu featur
967,['![](https://www.dictionary.com/e/wp-content/uploads/2018/04/another-one.jpg )'],http www dictionari com e wp content upload 2018 04 anoth one jpg
968,"['## TL;DR:\n', '\n', '1. Classic variant:\n', '   * Mem. usage decreased from 4867.46 Mb to 2452.37 Mb (49.6% reduction)\n', '   * Number of unique values: 3285120 -> 3216884 **(2.0% lost)**\n', '2. My variant:\n', '   * Mem. usage decreased from 4847.46 Mb to 2515.03 Mb (48.1% reduction)\n', '   * Number of unique values: 3285120 -> 3285120 **(0.0% lost)**\n', '3. My variant with optional object -> category conversion (read the **Objects -> categories** section before using!):\n', '   * Mem. usage decreased from 4847.46 Mb to **1086.85 Mb (77.6% reduction)**\n', '   * Number of unique values: 3285120 -> 3285120 **(0.0% lost)**\n', '\n', '## Rationale\n', '\n', 'It seems that many competition teams use the same `reduce_mem_usage` function (with modifications) e.g. https://www.kaggle.com/kyakovlev/ieee-data-minification .\n', '\n', 'Though I see a few major drawbacks in using it as is:\n', '1. Such functions either:\n', ""    1. Don't use minimal possible types for the sake of (imaginary) safety, and therefore use more memory than actually needed.\n"", ""    2. Use float16 but don't guarantee that you don't lose precision or unique values much (see **Issue 1** below)\n"", '2. None of them try to perform float to int conversion.\n', ""3. It's done only once and don't allow you to easily minify newly created features.\n"", '\n', 'So my functons address all of these problems.\n', 'They allow using really minimal amount of memory and guarantee not losing anything (precision, na values, unique values, etc.).\n', ""And you can do minification on the fly for new columns: `df['a/b'] = sd(df['a']/df['b'])`.\n"", '\n', 'Also my `sd` (stands for `safe downcast`) function is very flexible. If you consider you can allow to lose 0.1 precision when rounding but wanna save more memory, then no problem, just set `sd(col, max_loss_limit=0.1, avg_loss_limit=0.1)`.\n', '\n', '## Objects -> categories:\n', '\n', ""My functions can do object -> category conversion as well. But it's important to remember that if you do this for train and test separately they will have different internal representation (see **Issue 2** below) and may cause issues with ML algorithms if they mess with codes.\n"", ""In my code I use a concatenated dataset with 2-level indexes so it's not a problem. See the **Load dataset** section below.\n"", '\n', 'If you want them to be converted, use `obj_to_cat=True` arg.\n', ""In this case you'll get:\n"", '* **Mem. usage decreased from 4847.46 Mb to 1086.85 Mb (77.6% reduction)**\n']",tl dr 1 classic variant mem usag decreas 4867 46 mb 2452 37 mb 49 6 reduct number uniqu valu 3285120 3216884 2 0 lost 2 variant mem usag decreas 4847 46 mb 2515 03 mb 48 1 reduct number uniqu valu 3285120 3285120 0 0 lost 3 variant option object categori convers read object categori section use mem usag decreas 4847 46 mb 1086 85 mb 77 6 reduct number uniqu valu 3285120 3285120 0 0 lost rational seem mani competit team use reduc mem usag function modif e g http www kaggl com kyakovlev ieee data minif though see major drawback use 1 function either 1 use minim possibl type sake imaginari safeti therefor use memori actual need 2 use float16 guarante lose precis uniqu valu much see issu 1 2 none tri perform float int convers 3 done allow easili minifi newli creat featur functon address problem allow use realli minim amount memori guarante lose anyth precis na valu uniqu valu etc minif fli new column df b sd df df b also sd stand safe downcast function flexibl consid allow lose 0 1 precis round wan na save memori problem set sd col max loss limit 0 1 avg loss limit 0 1 object categori function object categori convers well import rememb train test separ differ intern represent see issu 2 may caus issu ml algorithm mess code code use concaten dataset 2 level index problem see load dataset section want convert use obj cat true arg case get mem usag decreas 4847 46 mb 1086 85 mb 77 6 reduct
969,['## Issue 1'],issu 1
970,['## Issue 2'],issu 2
971,['## Functions'],function
972,"['## Load dataset\n', '\n', 'The dataset is prepared in https://www.kaggle.com/alexeykupershtokh/concat-dataframes']",load dataset dataset prepar http www kaggl com alexeykupershtokh concat datafram
973,['## Minify'],minifi
974,['## Example 1: float conversion params'],exampl 1 float convers param
975,"[""Let's try to create a new feature Series""]",let tri creat new featur seri
976,"[""Let's try to minify it with default settings""]",let tri minifi default set
977,"[""Oops, it didn't work. The reason is most likely in that the values are too dense (e.g. there could be values like 100.0001 and 100.0002). But as far as this feature is ordinal and we don't care about preserving all of the unique values, let's losen our minification rules.""]",oop work reason like valu den e g could valu like 100 0001 100 0002 far featur ordin care preserv uniqu valu let losen minif rule
978,['You can see that we lost `11957 - 11882 = 75` unique values but saved 50% of memory.'],see lost 11957 11882 75 uniqu valu save 50 memori
979,['## Example 2: automatic float to int conversion'],exampl 2 automat float int convers
980,"[""let's try frequency encoding""]",let tri frequenc encod
981,['## Example 3: C1-C14 column compression (lossy for 3 rows)'],exampl 3 c1 c14 column compress lossi 3 row
982,"['<a id=""home""></a>\n', '# IEEE Fraud Detection transactions columns reference']",id home ieee fraud detect transact column refer
983,['## Ensembling With StackNet'],ensembl stacknet
984,['![](https://github.com/kaz-Anova/StackNet/raw/master/images/StackNet_Logo.png?raw=true)'],http github com kaz anova stacknet raw master imag stacknet logo png raw true
